Mountain,Metres,Feet,Range,Location
Mount Galatea,3185,10449,,"Kananaskis Range, Alberta, Canada"
Rendezvous Mountain,3185,10449,,"Teton Range, Wyoming, US"
Saviers Peak,3182,10440,,"Idaho, US"
Mount Yari,3180,10433,,"Hida Mountains, Japan"
Kendrick Peak,3178,10427,,"San Francisco Peaks, USA"
Kendrick Peak,3178,10427,,"San Francisco Peaks, USA"
Parícutin,3170,10400,,Mexico
Mount Aylmer,3162,10374,,Canadian Rockies
South Sister,3157,10358,,"Cascade Range, Oregon, US"
Stanley Peak,3155,10351,,"Ball Range, Canadian Rockies"
Jøkulkyrkja,3148,10328,,Antarctica
Pica d'Estats,3143,10312,,"Spanish–French border, Pyrenees"
Phan Xi Păng,3143,10312,,"Sa pa, Vietnam"
Mount Arakawa,3141,10305,,"Akaishi Mountains, Japan"
Gray Peak,3140,10302,,"Yellowstone National Park, Wyoming, US"
Mount Heyburn,3139,10299,,"Idaho, US"
Mount Washburn,3122,10243,,"Yellowstone National Park, Wyoming, US"
Mount Collie,3116,10223,,Canadian Rockies
Mount Siple,3110,10203,,Antarctica
Pirchinassi,3110,10203,,Muzaffarabad Azad Kashmir
Mount Redoubt,3108,10197,,"Alaska, US"
Mount Babel,3101,10174,,"Bow Range, Alberta, Canada"
Mount Emei,3099,10167,,China
Pico Duarte,3098,10164,,Dominican Republic
Trapper Peak,3096,10157,,"Montana, US"
Storm Mountain,3095,10154,,Canadian Rockies
Mount Blackmore,3094,10151,,"Montana, US"
Mount Stimson,3091,10141,,"Montana, US"
Mol Len,3088,10131,,"Patkai Range, Nagaland-India/Burma<http://www.peaklist.org/WWlists/ultras/burma.html>"
Qurnat as Sawdā’,3088,10131,,Lebanon
Mount Richardson,3086,10125,,Canadian Rockies
Kintla Peak,3079,10102,,"Livingston Range, Montana, US"
Mount Moulton,3078,10098,,Antarctica
Smoky Dome,3077,10095,,"Idaho, US"
Jebel akthar,3075,10089,,Oman
North Sister,3074,10085,,"Cascade Range, Oregon, US"
Piton des Neiges,3069,10069,,"Réunion, France"
Mount San Antonio,3068,10066,,"San Gabriel Mountains, California, US"
Mount Ontake,3067,10062,,Japan
Mount Jackson,3064,10052,,"Lewis Range, Montana, US"
Middle Sister,3062,10046,,"Cascade Range, Oregon, US"
Mount Wutai,3061,10043,,"Shanxi, China"
Mount Nyamuragira,3058,10033,,Democratic Republic of the Congo
Haleakala,3057,10030,,"Hawaii, US"
Crowfoot Mountain,3055,10023,,Canadian Rockies
Mount Chester,3054,10020,,Canadian Rockies
Mount Siyeh,3052,10013,,"Montana, US"
Mount Merritt,3049,10003,,"Montana, US"
Cerro de Coxóm,3045,9990,,Guatemala
Parseierspitze,3036,9961,,Austria
Mount Senjō,3033,9951,,"Akaishi Mountains, Japan"
Mount Aspiring/Tititea,3033,9951,,New Zealand
Kinnerly Peak,3031,9944,,"Montana, US"
Mount Agung,3031,9944,,"Bali, Indonesia"
Mount McArthur,3021,9911,,Canadian Rockies
Mount Norikura,3026,9928,,"Hida Mountains, Japan"
Tsiteli Khati,3026,9928,,"Kharuli Range, Georgia"
Mount Tate,3015,9892,,"Hida Mountains, Japan"
Mount Japvo,3014,9888,,"Barail Range, Nagaland, India"
Mount Tahat,3003,9852,,Algeria – Highest
Sapitwa,3002,9849,,"Mulanje Massif, Malawi"
The Fortress,3000,9843,,Canadian Rockies
Tre Cime di Lavaredo,2999,9839,,Province of Belluno Italy
Pizzo Centrale,2999,9839,,Switzerland
Cascade Mountain,2998,9836,,"Vermillion Range, Canadian Rockies, Canada"
Copahue,2997,9833,,"Andes, Argentina/Chile"
Mount Girouard,2985,9793,,"Fairholme Range, Canadian Rockies, Canada"
Pico da Neblina,2994,9823,,"Serra do Imeri, Amazonas, Brazil – Highest"
Mount Whyte,2983,9787,,"Bow Range, Canadian Rockies, Canada"
Miranjani,2980,9777,,Pakistan
Forellen Peak,2979,9774,,"Teton Range, Wyoming, US"
Mount Andrus,2978,9770,,"Ames Range, Antarctica"
Mount Niblock,2976,9764,,"Bow Range, Canadian Rockies, Canada"
Pico 31 de Março,2973,9754,,"Serra do Imeri, Amazonas, Brazil"
Keele Peak,2972,9751,,"Mackenzie Mountains, Yukon, Canada"
Mount Odin,2970,9744,,"Monashee Mountains, B.C., Canada"
Schilthorn,2970,9744,,"Bernese Alps, Switzerland"
Mount Tallac,2968,9738,,"Sierra Nevada, California, US"
Mount Inglismaldie,2964,9724,,"Fairholme Range, Canadian Rockies, Canada"
Mount Ramelau,2963,9721,,Highest in East Timor
Zugspitze,2962,9718,,Germany – Highest
Slide Mountain (Nevada),2957,9701,,"Carson Range, Nevada"
Little Alberta,2956,9698,,"Sir Winston Churchill Range, Canadian Rockies, Canada"
Mount Arfak,2955,9695,,"Arfak Mountains, West Papua, Indonesia"
Iron Mountain,2955,9695,,"Soldier Mountains, Idaho, US"
Apo,2954,9692,,Philippines – Highest
Fossil Mountain,2946,9665,,"Banff NP, Alberta, Canada"
Coma Pedrosa,2942,9652,,"Pyrenees, Andorra – Highest"
Going to the Sun Mountain,2939,9642,,"Lewis Range, Montana, US"
Fishers Peak,2936,9633,,"Raton Mesas, Colorado-New Mexico, US"
Pilot Mountain,2935,9629,,"Massive Range, Canadian Rockies, Canada"
Uri Rotstock,2928,9606,,Switzerland
Musala,2925,9596,,"Rila Mountain, Bulgaria – Highest"
Mount Pulag,2926,9600,,Philippines
Mount Olympus,2917,9570,,"Thessaly/Macedonia, Greece – Highest"
Vihren,2914,9560,,"Pirin Mountain, Bulgaria"
Mount Gould,2912,9554,,"Montana, US"
Corno Grande,2912,9554,,Abruzzo Italy
Mount Blakiston,2910,9547,,"Flathead Range, Canadian Rockies, Canada"
Puigmal,2909,9544,,"Spanish–French border, Pyrenees"
Kutelo,2908,9541,,"Pirin Mountain, Bulgaria"
Mount Sas dla Crusc,2907,9537,,"Dolomites, Italy"
Chutine Peak,2903,9524,,"Coast Range, British Columbia, Canada"
Malka Musala,2902,9521,,"Rila Mountain, Bulgaria"
Rising Wolf Mountain,2900,9514,,"Lewis Range, Montana, US"
Bonanza Peak,2899,9511,,"Cascade Range, Washington, US"
Mount McLoughlin,2894,9495,,"Mount McLoughlin, Oregon, US"
Pic de Sanfonts,2894,9495,,"Pyrenees, Andorra"
Pico da Bandeira,2892,9488,,"Serra do Caparaó, Minas Gerais/Espírito Santo, Brazil"
Collarada,2886,9469,,"Pyrenees, Spain"
Banski Suhodol,2884,9462,,"Pirin Mountain, Bulgaria"
Boardman Peak,2882,9455,,"Soldier Mountains, Idaho, US"
Mount Wrightson,2882,9455,,"Santa Rita Mountains, Arizona, US"
Lembert Dome,2880,9449,,"California, US"
Sacajawea Peak,2876,9436,,"Wallowa Mountains, Oregon, US"
Mount Stuart,2869,9413,,"Cascades, Washington, US"
Mount Fisht,2867,9406,,"Adygea, Russia"
Mount Silverthrone,2865,9400,,"British Columbia, Canada"
Mount Baden-Powell,2864.75,9399,,"San Gabriel Mountain, California, US"
Triglav,2864,9396,,Slovenia – Highest
Mount Saint Nicholas,2858,9377,,"Montana, US"
Irechek,2852,9357,,"Rila Mountain, Bulgaria"
Polezhan,2851,9354,,"Pirin Mountain, Bulgaria"
Mount Tabayoc,2842,9324,,"Cordillera Range, Benguet, Philippines"
Mount Wilbur,2841,9321,,"Montana, US"
Pico do Fogo,2829,9281,,Cape Verde – Highest
Kamenitsa,2822,9259,,"Pirin Mountain, Bulgaria"
Bayuvi dupki,2820,9252,,"Pirin Mountain, Bulgaria"
Mount Fernow,2819,9249,,"Washington, US"
Mount Hermon,2814,9232,,Syria and Lebanon; a subpeak on its southern slopes is within the Israeli-occupied Golan Heights region
Mount Deakin,2810,9219,,Antarctica
Mount Cory,2802,9193,,"Alberta, Canada"
Mount Thielsen,2799,9183,,"Cascades, Oregon, US"
Pedra da Mina,2798,9180,,"Serra da Mantiqueira, Minas Gerais/São Paulo, Brazil"
Mount Ruapehu,2797,9177,,"Tongariro National Park, North Island, New Zealand"
Copper Mountain,2795,9170,,"Alberta, Canada"
Maiella,2793,9163,,Abruzzo Italy
Pico das Agulhas Negras,2792,9160,,"Serra do Itatiaia, Minas Gerais/Rio de Janeiro, Brazil"
Deno,2790,9154,,"Rila Mountain, Bulgaria"
Hayes Volcano,2788,9147,,"Alaska, US"
Mount Edziza,2787,9144,,"British Columbia, Canada"
Canigou,2784,9134,,"Pyrenees, France"
Mount Weaver,2780,9121,,Antarctica
Buckner Mountain,2778,9114,,"Washington, US"
Mount Longonot,2776,9108,,"Great Rift Valley, Kenya"
Seven Fingered Jack,2774,9101,,"Washington, US"
Mount Nirvana,2773,9098,,"Northwest Territories, Canada"
Pico do Cristal,2770,9088,,"Serra do Caparaó, Minas Gerais, Brazil"
Chief Mountain,2768,9081,,"Montana, US"
Ovcharets,2768,9081,,"Rila Mountain, Bulgaria"
Lincoln Peak,2768,9081,,"Washington, US"
Castle Mountain,2766,9075,,"Canadian Rockies, Canada"
Pyramid Mountain,2766,9075,,"Canadian Rockies, Canada"
Pico Naiguata (Avila),2765,9072,,"Caracas, Venezuela"
Mount Bachelor,2764,9068,,"Formerly Bachelor Butte, Cascade Mountains, Oregon, US"
Mount Korab,2764,9068,,North Macedonia & Albania – Highest
Yalovarnika,2763,9065,,"Pirin Mountain, Bulgaria"
Gazey,2761,9058,,"Pirin Mountain, Bulgaria"
Mount Sir James MacBrien,2759,9052,,Canada
Kaymakchal,2753,9032,,"Pirin Mountain, Bulgaria"
Mount Olympus,2751,9026,,"Utah, US"
Todorka,2746,9009,,"Pirin Mountain, Bulgaria"
Mawson Peak,2745,9006,,Highest in Australian Antarctic Territory
Fairview Mountain,2744,9003,,"Bow Range, Canadian Rockies, Canada"
Mount Baekdu,2744,9003,,North Korea/China Highest in North Korea
Škrlatica,2740,8990,,"Julian Alps, Slovenia"
Monte Roraima,2739,8986,,"Serra de Pacaraima, Roraima, Brazil"
Heavens Peak,2739,8986,,"Montana, US"
Mount Spickard,2737,8980,,"North Cascades, US"
Banderishki Chukar,2732,8963,,"Pirin Mountain, Bulgaria"
Mount Melbourne,2732,8963,,Antarctica
Cerro El Pital,2730,8957,,El Salvador – Highest
Mount Redoubt,2730,8957,,"Washington, US"
Dzhengal,2730,8957,,"Pirin Mountain, Bulgaria"
Malyovitsa,2729,8953,,"Rila Mountain, Bulgaria"
Pizzo di Claro,2727,8947,,"Ticino, Switzerland"
Mount Morning,2723,8934,,Antarctica
Phu Xai Lai Leng,2720,8924,,Laos
Serles,2718,8917,,"Stubai Alps, Austria"
Mount Singakalsa (Timbak),2717,8914,,"Cordillera Range, Benguet, Philippines"
Watzmann,2713,8901,,"Bavarian Alps, Germany"
Boston Peak,2711,8894,,"Washington, US"
Schiahorn,2709,8888,,Switzerland
Grotto Mountain,2706,8878,,"Canadian Rockies, Canada"
Mount Haku,2702,8865,,"Ryōhaku Mountains, Japan"
Eldorado Peak,2701,8862,,"Washington, US"
Anaimudi,2695,8842,,"Kerala, India – #1 in Western Ghats, India"
Maja Jezerce,2694,8839,,"#1 in Dinaric Alps, Albania"
Half Dome,2693,8835,,"Sierra Nevada, California, US"
Mount Louis,2682,8799,,"Alberta, Canada"
Mount Discovery,2681,8796,,Antarctica
Morro do Couto,2680,8793,,"Serra das Prateleiras, Rio de Janeiro, Brazil"
Pic de la Selle,2680,8793,,Haiti
Mount Garibaldi,2678,8786,,"British Columbia, Canada"
Bashliyski Chukar,2670,8760,,"Pirin Mountain, Bulgaria"
Pedra do Sino,2670,8760,,"Serra dos Órgãos, Rio de Janeiro, Brazil"
Guadalupe Peak,2667,8750,,"Guadalupe Mountains, Texas – Highest in Texas"
Gjeravica,2656,8714,,"Accursed Mountains, Kosovo – Highest in Kosovo"
Großer Krottenkopf,2656,8714,,"Allgäu Alps, Tyrol, Austria"
Pic del Port Vell,2655,8711,,"Pyrenees, Andorra"
Gerlachov Peak,2655,8711,,"High Tatras, Slovakia"
Mount Michelson,2652,8701,,"Chugach Mountains, Alaska, US"
Torre Cerredo,2650,8694,,"Picos de Europa, Spain – Highest in Picos de Europa"
Mount St. Piran,2649,8691,,"Bow Range, Alberta, Canada"
Mount Meager,2645,8678,,"British Columbia, Canada"
Mount Trus Madi,2642,8668,,"Trus Madi Range, Sabah, Malaysia – No. 2 in Malaysia"
Meesapulimala,2640,8661,,"Tamil Nadu/Kerela, India"
Doddabetta,2637,8652,,"Tamil Nadu, India"
Piton de la Fournaise,2631,8632,,Réunion
Mount Crean,2630,8629,,Victoria Land
Naina Peak (China Peak),2619,8593,,"India, Uttarakhand"
Cardinal Peak,2618,8589,,"Washington, US"
Peña Vieja,2617,8586,,"Picos de Europa, Cantabria, Spain"
Barbeau Peak,2616,8583,,"Nunavut, Canada – Highest in Nunavut"
Pelister Peak,2601,8533,,North Macedonia
Mount Abao,2596,8517,,Philippines
Pico Almanzor,2592,8504,,Spain
Mount Currie,2591,8501,,"BC, Canada"
Pizzo Molare,2585,8481,,"Ticino, Switzerland"
Mount Tavkvetili,2583,8474,,Georgia
Mount Tambuyukon,2579,8461,,"Sabah, Malaysia"
Argonaut Peak,2576,8451,,"Washington, US"
Doi Inthanon,2565,8415,,Thailand – Highest in Thailand
Cooke's Peak/Cook's Peak,2563,8409,,"New Mexico, US"
Pic dels Aspres,2562,8406,,"Pyrenees, Andorra"
Ledyanaya,2562,8406,,Russia – Highest of the Koryak Mountains
Aguja Saint Exupery,2558,8392,,Argentina
Mount St. Helens,2550,8366,,"Washington, US"
Big Hatchet Peak,2547,8356,,"New Mexico, US"
Moldoveanu Peak,2544,8346,,Romania
Mount Vineuo,2536,8320,,Papua New Guinea
Negoiu Peak,2535,8317,,Romania
Vistea Mare,2527,8291,,Romania
Pidurutalagala,2524,8281,,Sri Lanka
Mount Norquay,2522,8274,,"Canadian Rockies, Canada"
Hualalai,2521,8271,,"Hawaii, US"
Mount Yesenin,2520,8268,,Antarctica
Parangu Mare,2519,8264,,Romania
Mount Taranaki/Egmont,2518,8261,,New Zealand
Garfield Peak,2512,8241,,"Wyoming, US"
Mount Joern,2510,8235,,Antarctica
Mount Veniaminof,2507,8225,,"Alaska, US"
Omu Peak,2505,8219,,Romania
Rysy,2503,8212,,"Tatras, Poland/Slovakia"
Mount Tymfi,2497,8192,,"Pindus, Greece"
Monte Velino,2487,8159,,Abruzzo Italy
Monte Vettore,2476,8123,,Abruzzo Italy
Špik,2472,8110,,"Julian Alps, Slovenia"
Luna Peak,2470,8104,,"British Columbia, Canada"
Galdhøpiggen,2469,8100,,Norway – Highest
Kanlaon,2465,8087,,"Negros Occidental and Negros Oriental, Philippines"
Glittertind,2464,8084,,Norway
El Capitan,2464,8084,,"Texas, US"
Shimbiris,2464,8084,,Somalia
Mayon,2463,8081,,"Albay, Philippines"
Monte Gorzano,2458,8064,,Abruzzo Italy
Mount Psiloritis,2456,8058,,"Crete, Greece"
Mount Pachnes (Lefka Ori),2453,8048,,"Crete, Greece"
Sulphur Mountain,2451,8041,,"Canadian Rockies, Canada"
Sunset Crater,2451,8041,,"Arizona, US"
Cima del Redentore (Sibillini Mountains),2448,8031,,Marche - Umbria Italy
Faraya Mzaar,2444,8018,,"Keserwan, Lebanon"
Triple Divide Peak,2444,8018,,"Montana, US"
Blackcomb Peak,2436,7992,,"Whistler BC, Canada"
Monte Binga,2436,7992,,"Manica, Mozambique"
Mount Olympus,2432,7979,,"Washington, US"
Peñalara,2430,7972,,Spain
Mesa de los Tres Reyes,2428,7966,,"Navarre, Spain – Highest point in Navarre"
Mount Daniel,2426,7959,,"Washington, US"
Mount Murud,2423,7949,,"Kelabit Highlands, Sarawak, Malaysia – Highest mountain in Sarawak"
Mocho,2422,7946,,"Los Ríos Region, Chile"
Choshuenco,2415,7923,,"Los Ríos Region, Chile"
Ivis Peak,2414,7920,,"Los Ríos Region, Chile"
Ha Ling Peak,2408,7900,,"Canadian Rockies, Alberta, Canada"
Store Skagastølstind,2405,7890,,Norway
Hajla,2403,7884,,Kosovo
Le Tabor,2389,7838,,"Dauphine Alps, France"
Kirigalpottha,2388,7835,,Sri Lanka
Maglić,2386,7828,,Bosnia and Herzegovina – Highest in Bosnia and Herzegovina
Emory Peak,2385,7825,,"Texas, US"
Mount Cayley,2385,7825,,"British Columbia, Canada"
Mount Galwey,2377,7799,,"Canadian Rockies, Canada"
Botev Peak,2376,7795,,"Balkan Mountain, Bulgaria"
Mount Mulu,2376,7795,,"Gunung Mulu National Park, Sarawak, Malaysia"
Mount Deception,2374,7789,,"Washington, US"
Mount Aix,2367,7766,,"Washington, US"
Mount Karthala,2361,7746,,"Comoros, Indian Ocean"
Totapala Kanda,2357,7733,,Sri Lanka
Signal Mountain,2353,7720,,"Wyoming, US"
Mount Pico,2351,7713,,"Azores, Portugal – Highest in Portugal"
Grimming,2351,7713,,"Styria, Austria – Highest Monolith in Europe"
Monte Sirente,2347,7700,,Abruzzo Italy
Mount Blum,2340,7677,,North Cascades
Mount Popomanaseu,2335,7661,,"Guadalcanal, Solomon Islands – Highest in Solomon Islands"
Monte Priora,2333,7654,,Marche Italy
Mount Prophet,2330,7644,,North Cascades
Mount Griggs,2317,7602,,"Alaska, US"
Mount Makarakomburu,2310,7579,,"Guadalcanal, Solomon Islands"
Lalla Khedidja,2308,7572,,"Djurdjura Mountains, Algeria"
Lavender Peak,2306,7566,,"British Columbia, Canada"
Pietrosul Rodnei Peak,2303,7556,,"Rodnei Mountains, Romanian Carpathian Mountains, Romania"
Mount Sir Allan MacNab,2297,7536,,"Premier Range, British Columbia, Canada"
Murree,2291,7516,,"Rawalpindi, Pakistan"
Kozi Wierch,2291,7516,,"Tatras, Poland"
Cherni Vrah,2290,7513,,"Vitosha Mountain, Bulgaria"
Druesberg,2282,7487,,"Alps, Switzerland"
Ineu Peak,2279,7477,,"Rodnei Mountains, Romanian Carpathian Mountains, Romania"
Mount Huye,2278,7474,,Rwanda
Bikku Bitti,2267,7438,,Libya – Second Highest in country
Blue Mountains,2256,7402,,Jamaica – Highest in Country
Mount Dietz,2250,7382,,Antarctica
Sri Pada Mountain,2243,7359,,Sri Lanka
Mount John Laurie,2240,7349,,"Canadian Rockies, Alberta, Canada"
Red Butte,2232,7323,,"Arizona, US"
Čvrsnica,2228,7310,,"Herzegovina, BiH"
Mount Kosciuszko,2228,7310,,"Snowy Mountains, New South Wales, Australia – Highest on mainland"
Camoghe,2228,7310,,"Ticino, Switzerland"
Commonwealth Mountain,2225,7300,,"Nunavut, Canada"
Mount Chiginagak,2221,7287,,"Alaska, US"
Monte Terminillo,2217,7274,,Lazio Italy
Slavyanka,2212,7257,,"Pirin Mountain, Bulgaria"
Mount Oxford (Nunavut),2210,7251,,"Nunavut, Canada"
Mount Townsend,2209,7247,,"Snowy Mountains, New South Wales, Australia – Second-highest on mainland"
Black Elk Peak,2207,7241,,"South Dakota, US – Highest in state"
Golden Hinde,2198,7211,,"#1 on Vancouver Island, British Columbia, Canada"
Mount Twynam,2196,7205,,"Snowy Mountains, New South Wales, Australia – Third-highest on mainland"
Elkhorn Mountain,2195,7201,,"Vancouver Island, British Columbia, Canada"
Mount Baldy,2192,7192,,"Alberta, Canada"
Golyam Perelik,2191,7188,,"Rhodope Mountain, Bulgaria"
Shiprock,2188,7178,,"New Mexico, US"
Mount Tahan,2187,7175,,"Tahan Range, Pahang, Malaysia – Highest in Peninsular Malaysia"
Mount Korbu,2183,7162,,"Titiwangsa Mountains, Perak, Malaysia"
Mount Yong Belar,2180,7152,,"Perak, Malaysia"
Doi Chiang Dao,2175,7136,,Thailand
Galunggung,2168,7113,,Java
Levski Peak,2166,7106,,"Balkan Mountain, Bulgaria"
Monte Cimone,2165,7103,,Emilia-Romagna Italy
Mount Hua,2155,7070,,"Shaanxi, China"
Mount Ugo,2150,7054,,"Cordillera Range, Benguet, Philippines"
Mount Zulia,2149,7051,,Uganda
Carruthers Peak,2145,7037,,"Snowy Mountains, New South Wales, Australia"
Crna Glava,2139,7018,,"Bjelasica, Crna Gora"
Mount Colonel Foster,2135,7005,,"Vancouver Island, British Columbia, Canada"
Roche à Perdrix,2135,7005,,"Fiddle Range, Canadian Rockies, Canada"
Kodaikanal,2133,6998,,"Tamil Nadu, India"
Pilatus,2132,6995,,Switzerland
Strmenica,2122,6962,,"Bjelasica, Crna Gora"
Phu Soi Dao,2120,6955,,Thailand/Laos
Eagle Peak,2119,6952,,"Alaska, US"
Zekova Glava,2117,6946,,"Bjelasica, Crna Gora"
Öræfajökull,2110,6923,,Iceland
Mount Benum,2107,6913,,Malaysia
Mogotón,2107,6913,,Nicaragua – Highest in Nicaragua
Kebnekaise,2106,6909,,Sweden
Rambler Peak,2092,6864,,"Vancouver Island, British Columbia, Canada"
Mount McBride,2083,6834,,"Vancouver Island, British Columbia, Canada"
Pico do Selado,2082,6831,,"Monte Verde, Minas Gerais, Brazil"
Phou Khe,2079,6821,,Thailand/Laos
Schneeberg,2076,6811,,"Northern Limestone Alps, Austria"
Mount Tate,2068,6785,,"Snowy Mountains, New South Wales, Australia"
Bjelašnica,2067,6781,,"Sarajevo Canton, Bosnia and Herzegovina"
Kings Peak,2065,6775,,"Vancouver Island, British Columbia, Canada"
Hoverla,2061,6762,,Ukraine – Highest
Monte Miletto,2050,6726,,Molise Italy
Lytton Mountain,2049,6722,,"British Columbia, Canada"
Mount Katmai,2047,6716,,"Alaska, US"
Mount Dimlang,2042,6699,,"Adamawa, Nigeria"
Mount Celeste,2041,6696,,"Vancouver Island, British Columbia, Canada"
Mount Mitchell,2037,6683,,"Yancey County, North Carolina, US - the highest peak of the Appalachian Mountains and the highest peak in mainland eastern North America"
Namunukula,2035,6677,,Sri Lanka
Pico do Barbado,2033,6670,,"Bahia, Brazil – Highest point in Bahia"
Mount Batu Brinchang,2032,6667,,"Cameron Highlands, Pahang/Perak, Malaysia"
Doi Mae Tho,2031,6663,,Thailand
Clingmans Dome,2025,6644,,"Great Smoky Mountains, Tennessee, US"
Mount Heng (Shanxi),2017,6617,,"Shanxi, China"
Kopaonik,2017,6617,,"Pančić's Peak, Serbia"
Alpe di Succiso,2017,6617,,Province of Reggio Emilia Italy
Kom,2016,6614,,"Balkan Mountain, Bulgaria"
Polar Bear Peak,2016,6614,,"Chugach Mountains, Alaska, US"
Mount Asgard,2015,6611,,"Baffin Mountains, Nunavut, Canada"
Mount Le Conte,2010,6594,,"Great Smoky Mountains, Tennessee, US"
Serra da Estrela,1993,6539,,Portugal
Mount Bogong,1986,6516,,Australia – Highest in Victoria
Mount Ishizuchi,1982,6503,,Japan – Tallest in Western Japan
Doi Phu Kha,1980,6496,,"Luang Prabang Range, Thailand"
Pizzo Carbonara,1979,6493,,Province of Palermo Sicily
Topo de Coroa,1979,6493,,Cape Verde
Mount Tongariro,1978,6490,,New Zealand
Iceberg Peak,1977,6486,,"Vancouver Island, British Columbia, Canada"
Pico Turquino,1975,6480,,Cuba – Highest point
El Piveto Mountain,1969,6460,,"Vancouver Island, British Columbia, Canada"
Qiajivik Mountain,1963,6440,,"Baffin Island, Nunavut, Canada"
Monte Tamaro,1962,6437,,"Ticino, Switzerland"
Farcau Peak,1956,6417,,Romania
Montalto (Aspromonte),1955,6414,,Calabria Italy
Ciucas Peak,1954,6411,,Romania
Chionistra,1952,6404,,Cyprus
Hallasan,1950,6398,,"Jejudo, South Korea – Highest Mountain in South Korea"
Jabal Bil Ays,1934,6345,,Oman
Mullayanagiri,1930,6332,,"Chikmagalur, Karnataka, India"
Helvetia Tinde,1929,6329,,"Roosevelt Range – Highest peak in Peary Land, Northern Greenland"
Botte Donato,1928,6325,,"Sila Mountains, Calabria, Italy"
Mount Kirigamine,1925,6316,,Japan
Mount Washington,1917,6289,,"Presidential Range, White Mtns., Appalachian Mountains, US – Highest in American Northeast"
Mount Siku,1915,6283,,"Pahang, Malaysia"
Mount Jiri,1915,6283,,South Korea
Troglav,1913,6276,,"Highest peak of mountain Dinara, Bosnia and Herzegovina"
Mont Ventoux,1909,6263,,France
Ocolasu Mare,1907,6257,,Romania
Mount Toaca,1900,6234,,Romania
Vesper Peak,1896,6220,,"Washington, US"
Baba Budangiri,1895,6217,,"Chikmagalur, Karnataka, India"
Mount Narodnaya,1895,6217,,"Subpolar Urals, Russia"
Kudremukh,1894,6214,,"Chikmagalur, Karnataka, India"
Orjen,1894,6214,,"Montenegro, Bosnia and Herzegovina"
Iskhodnaya,1887,6191,,Russia – Highest of the Chukotka Mountains
Mount George V,1883,6178,,"Vancouver Island, British Columbia, Canada"
Rugged Mountain,1875,6152,,"Vancouver Island, British Columbia, Canada"
Agastya Mala,1868,6129,,"Tamil Nadu/Kerala, India"
Trident Volcano,1864,6115,,"Alaska, US"
Mount Martin,1863,6112,,"Alaska, US"
Knuckles,1862,6109,,Sri Lanka
Pico Ruivo,1861,6106,,"Madeira, Portugal"
Budacu,1859,6099,,Romania
Giumalau,1856,6089,,Romania
Pico das Torres,1853,6079,,"Madeira, Portugal"
Mont Ross,1850,6070,,"Gallieni Massif, Kerguelen Islands"
Cucurbata Mare,1849,6066,,Romania
Monte Soro,1847,6060,,Province of Messina Sicily
Mount Ulap,1846,6056,,"Itogon, Benguet, Philippines"
Crown Mountain,1846,6056,,"Vancouver Island, British Columbia, Canada"
Tibles,1839,6033,,Romania
Loser,1838,6030,,Austria
Vladeasa,1836,6024,,Romania
Punta La Marmora,1834,6017,,Sardinia
Sinjal,1831,6007,,Mountain Dinara – Highest peak of Croatia
Cerro La Campana,1828,5997,,"Olmue, Chile"
Gora Nevskaya,1828,5997,,"Magadan Oblast, Russia – Highest of the Kolyma Mountains"
Muntele Mare,1826,5991,,Romania
Cerro de la Silla,1820,5971,,Mexico
Pico do Arieiro,1818,5965,,"Madeira, Portugal"
Biligiriranga Hills,1800,5906,,"Chamarajanagar, Karnataka, India"
Monte Maggiorasca,1799,5902,,liguria - Emilia-Romagna Italy
Rigi,1797,5896,,Swiss Alps
Hășmașu Mare,1792,5879,,Romania
Pietrosu Peak,1791,5876,,Romania
Goru,1784,5853,,Romania
Blokhin Peak,1779,5837,,"Chukotka, Russian Federation – Highest in Anyuy Range"
Velliangiri Mountains,1778,5833,,"Coimbatore, Tamil Nadu, India"
Lacaut,1777,5830,,Romania
Saca Peak,1776,5827,,Romania
Penteleu,1772,5814,,Romania
Mount Veve,1768,5801,,"Kolombangara, Solomon Islands"
Mount Adams,1766,5794,,"New Hampshire, US"
Monte Gariglione,1764,5787,,"Sila Mountains, Calabria, Italy"
Sveti Jure (Saint George),1762,5781,,"Mountain Biokovo, Croatia"
Pik Sovetskoy Gvardii,1759,5771,,"Chukotka, Russian Federation"
Vaganski vrh,1757,5764,,"Mountain Velebit, Croatia"
Mount Api,1750,5741,,"Gunung Mulu National Park, Sarawak, Malaysia"
Lovćen,1749,5738,,Montenegro
Tadiandamol,1748,5735,,"Kodagu, Karnataka, India"
Mount Rogers,1746,5728,,"Virginia, US – Highest point in state"
Doi Phi Pan Nam,1745,5725,,"Luang Prabang Range, Thailand"
Mount Wilson,1742,5715,,"California, US"
Mount Jefferson,1741,5712,,"New Hampshire, US"
Monte Amiata,1738,5702,,Province of Grosseto Italy
Daisen,1729,5673,,Japan
The Horn (Mount Buffalo),1723,5653,,"Victoria, Australia"
Mount Batur,1717,5633,,"Bali, Indonesia"
Kumara Parvata,1712,5617,,"Dakshina Kannada, Karnataka, India"
Pushpagiri,1712,5617,,"Pushpagiri Wildlife Sanctuary, Karnataka, India"
Mount Lowe,1707,5600,,"San Gabriel Mountains, California, US"
Boulder Peak,1707,5600,,"Olympic Mountains, Washington, US"
Doi Luang,1694,5558,,Thailand – Highest in the Phi Pan Nam Range
Mitre Peak,1692,5551,,New Zealand
Arma Konda,1680,5512,,India – Highest in Andhra Pradesh
